รุ่น	หมวด	ชื่อในไฟล์ถอดทุน	ราคาที่ใช้อยู่	หน่วย	รหัสสโตร์ (กรอกตรงนี้)
บานติดตายดัดโค้ง	สิ้นเปลือง	กล่องเปิด+ตบปิดเปิด	1849	เส้น	
ฝ้ายิปซัม (ฉาบเรียบ ทาสีขาว)	สิ้นเปลือง	แผ่นยิปซัม 9มม. (1.2×2.4)	284	แผ่น	
ฝ้ายิปซัม (ฉาบเรียบ ทาสีขาว)	สิ้นเปลือง	โครงซีไลน์ (ฟิวริ่ง)	50	เส้น	
ฝ้ายิปซัม (ฉาบเรียบ ทาสีขาว)	สิ้นเปลือง	โครงเคร่าหลัก (อาบ)	50	เส้น	
ฝ้ายิปซัม (ฉาบเรียบ ทาสีขาว)	สิ้นเปลือง	ขาแขวน	50	เส้น	
ฝ้ายิปซัม (ฉาบเรียบ ทาสีขาว)	สิ้นเปลือง	สกรูยึดแผ่น	0.5	ตัว	
ฝ้ายิปซัม (ฉาบเรียบ ทาสีขาว)	สิ้นเปลือง	สกรูยึดโครง	0.5	ตัว	
ฝ้ายิปซัม (ฉาบเรียบ ทาสีขาว)	สิ้นเปลือง	ปูนฉาบรอยต่อ	240	ถุง	
ฝ้ายิปซัม (ฉาบเรียบ ทาสีขาว)	สิ้นเปลือง	เทป/ตาข่าย	70	ม้วน	
ฝ้ายิปซัม (ฉาบเรียบ ทาสีขาว)	สิ้นเปลือง	ฉนวน rockwool 3"	130	แผ่น	
ผนังสมาร์ทบอร์ด 12มม. (2 หน้า)	สิ้นเปลือง	แผ่นสมาร์ทบอร์ด 12มม. (2 หน้า)	500	แผ่น	
ผนังสมาร์ทบอร์ด 12มม. (2 หน้า)	สิ้นเปลือง	โครงเหล็กกรอบ 1½×3" (รอบ)	440	เส้น	
ผนังสมาร์ทบอร์ด 12มม. (2 หน้า)	สิ้นเปลือง	ซีไลน์ 3" เสาตั้ง (ดิ่ง) @0.60	62	เส้น	
ผนังสมาร์ทบอร์ด 12มม. (2 หน้า)	สิ้นเปลือง	ซีไลน์ 3" ถักนอน (ราบ) @0.40	62	เส้น	
ผนังสมาร์ทบอร์ด 12มม. (2 หน้า)	สิ้นเปลือง	ฉนวน 3" (60×120)	130	แผ่น	
ผนังสมาร์ทบอร์ด 12มม. (2 หน้า)	สิ้นเปลือง	สกรูยึดแผ่น (2 หน้า)	0.5	ตัว	
ผนังสมาร์ทบอร์ด 12มม. (2 หน้า)	สิ้นเปลือง	สกรูยึดโครง	0.5	ตัว	
ผนังสมาร์ทบอร์ด 12มม. (2 หน้า)	สิ้นเปลือง	ปูนฉาบรอยต่อ (2 หน้า)	240	ถุง	
ผนังสมาร์ทบอร์ด 12มม. (2 หน้า)	สิ้นเปลือง	เทป/ตาข่าย (2 หน้า)	70	ม้วน	
ผนังไอโซวอล 100มม.	สิ้นเปลือง	แผ่นไอโซวอล 100มม. (≤2.4ม.)	2016	แผ่น	
ผนังไอโซวอล 100มม.	สิ้นเปลือง	แผ่นไอโซวอล 100มม. (>2.4ม.)	2520	แผ่น	
ผนังไอโซวอล 100มม.	สิ้นเปลือง	สกรู/รีเวท + ยึด (เหมา)	50	งาน	
ผนังอลูลูกฟูก (รวมโครง)	สิ้นเปลือง	แผ่นอลูลูกฟูก (ต้นทุน ≈ ขาย R3.9 3,500 ÷2)	1750	ตร.ม.	
ผนังอลูลูกฟูก (รวมโครง)	สิ้นเปลือง	โครงเหล็กกรอบ 1½×3" (รอบ)	440	เส้น	
ผนังอลูลูกฟูก (รวมโครง)	สิ้นเปลือง	ซีไลน์ 3" เสาตั้ง (ดิ่ง) @0.60	62	เส้น	
ผนังอลูลูกฟูก (รวมโครง)	สิ้นเปลือง	ซีไลน์ 3" ถักนอน (ราบ) @0.40	62	เส้น	
ผนังอลูลูกฟูก (รวมโครง)	สิ้นเปลือง	สกรู/รีเวท ยึดแผ่น+โครง	0.5	ตัว	
ผนังคอมโพสิต (รวมโครง)	สิ้นเปลือง	แผ่นคอมโพสิต 3มม. (ต้นทุน ≈ ขาย R3.9 3,300 ÷2)	1650	ตร.ม.	
ผนังคอมโพสิต (รวมโครง)	สิ้นเปลือง	แผ่นคอมโพสิต 4มม. (ต้นทุน ≈ ขาย R3.9 4,000 ÷2)	2000	ตร.ม.	
ผนังคอมโพสิต (รวมโครง)	สิ้นเปลือง	โครงเหล็กกรอบ 1½×3" (รอบ)	440	เส้น	
ผนังคอมโพสิต (รวมโครง)	สิ้นเปลือง	ซีไลน์ 3" เสาตั้ง (ดิ่ง) @0.60	62	เส้น	
ผนังคอมโพสิต (รวมโครง)	สิ้นเปลือง	ซีไลน์ 3" ถักนอน (ราบ) @0.40	62	เส้น	
ผนังคอมโพสิต (รวมโครง)	สิ้นเปลือง	สกรู/รีเวท ยึดแผ่น+โครง	0.5	ตัว	
ฝ้าไม้เทียม / ฝ้าอลู	สิ้นเปลือง	ขาจับฝ้า (ไม้ทิพย์)	190	เส้น	
ฝ้าไม้เทียม / ฝ้าอลู	สิ้นเปลือง	โครงซีไลน์ (มาตรฐาน @1.2)	50	เส้น	
มุ้งเฟรมเล็ก	สิ้นเปลือง	เสา (เส้น 6ม.)	625	เส้น	
มุ้งเฟรมเล็ก	สิ้นเปลือง	ขวาง (เส้น 6ม.)	625	เส้น	
มุ้งเฟรมเล็ก	สิ้นเปลือง	ยางอัด (ม.)	5	ม.	
มุ้งเฟรมเล็ก	สิ้นเปลือง	ผ้ามุ้ง ไฟเบอร์	23	ตร.ม.	
มุ้งเฟรมเล็ก	สิ้นเปลือง	ผ้ามุ้ง ไนล่อน	38	ตร.ม.	
มุ้งเฟรมเล็ก	สิ้นเปลือง	ผ้ามุ้ง สแตนเลส	352	ตร.ม.	
มุ้งเฟรมเล็ก	สิ้นเปลือง	ผ้ามุ้ง กันแมว	82	ตร.ม.	
มุ้งเฟรมเล็ก	สิ้นเปลือง	ผ้ามุ้ง กันหนู (สแตนเลส)	352	ตร.ม.	
มุ้งเฟรมใหญ่	สิ้นเปลือง	ขวาง 20051 (เส้น 6ม.)	885	เส้น	
มุ้งเฟรมใหญ่	สิ้นเปลือง	ยางอัด (ม.)	5	ม.	
มุ้งเฟรมใหญ่	สิ้นเปลือง	ผ้ามุ้ง ไฟเบอร์	23	ตร.ม.	
มุ้งเฟรมใหญ่	สิ้นเปลือง	ผ้ามุ้ง ไนล่อน	38	ตร.ม.	
มุ้งเฟรมใหญ่	สิ้นเปลือง	ผ้ามุ้ง สแตนเลส	352	ตร.ม.	
มุ้งเฟรมใหญ่	สิ้นเปลือง	ผ้ามุ้ง กันแมว	82	ตร.ม.	
มุ้งเฟรมใหญ่	สิ้นเปลือง	ผ้ามุ้ง กันหนู (สแตนเลส)	352	ตร.ม.	
มุ้งเฟรมใหญ่	สิ้นเปลือง	ผ้าสแตนเลสนิรภัย 304	650	ตร.ม.	
ฝาตู้ Future Tech (เฉพาะบานหน้า)	อุปกรณ์	บานพับ (4ชิ้น/บาน)	80	ถุง	
